"","Study","Authors","Year","Source","Source_Type","City_Region","Country","Climate","Number_Participants","Male","Female","Age","Occupation","Anthropometric_Data","Health_Status","Clothing_Insulation","Clothing_Insulation2","Measure","Measure_Type","Metric","SA","TSLow","TSHigh","TLow","THigh","PLow","PHigh","DifT","AvgT","DifTS","AvgTS","Lamb","Hancock","Complexity","Equation"
"288","17-Zh","Zhang, Haddad, Nakisa, Rastgoo, Candido, Tjondronegoro, de Dear",2017,"Building and Environment","J","Sydney","Australia","Temperate",26,12,14,NA,"Office workers","NO","NO",NA,NA,"Feature match","Visual Searching","SC","Accuracy",-0.5,0.6,22,25,128.378378378378,137.297297297297,3,23.5,1.1,0.05,0.63157894736843,"Perceptual","S","Absolute"
"289","17-Zh","Zhang, Haddad, Nakisa, Rastgoo, Candido, Tjondronegoro, de Dear",2017,"Building and Environment","J","Sydney","Australia","Temperate",26,12,14,NA,"Office workers","NO","NO",NA,NA,"Grammatical reasoning","Grammatical Reasoning","SC","Accuracy",-0.5,0.6,22,25,17.1052631578947,17.6973684210526,3,23.5,1.1,0.05,0.314685314685319,"Cognitive","C","Absolute"
"290","17-Zh","Zhang, Haddad, Nakisa, Rastgoo, Candido, Tjondronegoro, de Dear",2017,"Building and Environment","J","Sydney","Australia","Temperate",26,12,14,NA,"Office workers","NO","NO",NA,NA,"Spatial planning","Spatial Planning","SC","Accuracy",-0.5,0.6,22,25,23.5263157894737,27.5526315789474,3,23.5,1.1,0.05,1.55582672361196,"Cognitive","C","Absolute"
"340","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Grammatical reasoning","Grammatical Reasoning","RE","Accuracy",0.0666666666666667,2.26666666666667,27.1,35.5,94.1,91.8,8.4,31.3,2.2,1.16666666666667,-0.104545454545454,"Cognitive","C","Relative"
"341","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Stroop","Inhibition","RE","Accuracy",0.0666666666666667,2.26666666666667,27.1,35.5,98.1,97.8,8.4,31.3,2.2,1.16666666666667,-0.0136363636363635,"Perceptual","S","Relative"
"342","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Addition & subtraction","Mathematical Reasoning","RE","Accuracy",0.0666666666666667,2.26666666666667,27.1,35.5,98.9,97.3,8.4,31.3,2.2,1.16666666666667,-0.0727272727272731,"Cognitive","C","Relative"
"343","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Multiplication","Mathematical Reasoning","RE","Accuracy",0.0666666666666667,2.26666666666667,27.1,35.5,93.3,92.5,8.4,31.3,2.2,1.16666666666667,-0.0363636363636362,"Cognitive","C","Relative"
"344","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Visual reaction time","Sustained Attention","RE","Accuracy",0.0666666666666667,2.26666666666667,27.1,35.5,97.9,97.6,8.4,31.3,2.2,1.16666666666667,-0.0136363636363642,"Psychomotor","S","Relative"
"345","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Visual learning memory","Recognition Memory","RE","Accuracy",0.0666666666666667,2.26666666666667,27.1,35.5,89.3,89.2,8.4,31.3,2.2,1.16666666666667,-0.00454545454545429,"Perceptual","S","Relative"
"346","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Digit span memory","Short-Term Memory","SP","Accuracy",0.0666666666666667,2.26666666666667,27.1,35.5,9.9,9.92,8.4,31.3,2.2,1.16666666666667,0.00918273645546353,"Cognitive","C","Absolute"
"347","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"d2 test","Visual Searching","RE","Accuracy",0.0666666666666667,2.26666666666667,27.1,35.5,97.1,97,8.4,31.3,2.2,1.16666666666667,-0.00454545454545429,"Perceptual","S","Relative"
"348","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RE","Accuracy",-2.63,-1.485,16.2,17.9,92.6,91.8,1.7,17.05,1.145,-2.0575,-0.0698689956331875,"Cognitive","C","Relative"
"350","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RE","Accuracy",-1.21,-0.27,20,22.3,95.9,94.7,2.3,21.15,0.94,-0.74,-0.127659574468085,"Cognitive","C","Relative"
"351","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RE","Accuracy",-0.27,0.075,22.3,24.1,94.7,93.8,1.8,23.2,0.345,-0.0975,-0.260869565217393,"Cognitive","C","Relative"
"352","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RE","Accuracy",0.075,0.6,24.1,26.2,93.8,94.5,2.1,25.15,0.525,0.3375,0.133333333333334,"Cognitive","C","Relative"
"353","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RE","Accuracy",0.6,1.445,26.2,27.7,94.5,93.3,1.5,26.95,0.845,1.0225,-0.142011834319527,"Cognitive","C","Relative"
"354","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RE","Accuracy",-2.63,-1.485,16.2,17.9,91.3,93,1.7,17.05,1.145,-2.0575,0.148471615720524,"Cognitive","C","Relative"
"355","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RE","Accuracy",-1.485,-1.21,17.9,20,93,93.1,2.1,18.95,0.275,-1.3475,0.0363636363636343,"Cognitive","C","Relative"
"356","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RE","Accuracy",-1.21,-0.27,20,22.3,93.1,94.9,2.3,21.15,0.94,-0.74,0.191489361702129,"Cognitive","C","Relative"
"357","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RE","Accuracy",-0.27,0.075,22.3,24.1,94.9,93.3,1.8,23.2,0.345,-0.0975,-0.463768115942031,"Cognitive","C","Relative"
"358","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RE","Accuracy",0.075,0.6,24.1,26.2,93.3,91.7,2.1,25.15,0.525,0.3375,-0.304761904761904,"Cognitive","C","Relative"
"359","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RE","Accuracy",0.6,1.445,26.2,27.7,91.7,85.1,1.5,26.95,0.845,1.0225,-0.781065088757398,"Cognitive","C","Relative"
"360","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","J","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Text typing","Simulated Work","NER","Accuracy",-0.1,1.9,23.5,29.5,60.5,57.2,6,26.5,2,0.9,0.272727272727272,"Cognitive","C","Absolute"
"361","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","J","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Text typing","Simulated Work","NOC","Accuracy",-0.1,1.85,23.5,29.5,53.9,50.5,6,26.5,1.95,0.875,-0.323486037771752,"Cognitive","C","Absolute"
"362","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","J","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Star counting","M. Reasoning + Inhibition","RE","Accuracy",-0.1,1.85,23.5,29.5,78,78.2,6,26.5,1.95,0.875,0.0102564102564104,"Cognitive","C","Relative"
"363","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","J","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Vigilance","Sustained Attention","RE","Accuracy",-0.1,1.85,23.5,29.5,99.8,99.8,6,26.5,1.95,0.875,0,"Psychomotor","S","Relative"
"364","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","J","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Operation span N-back","Working Memory","RE","Accuracy",-0.1,1.85,23.5,29.5,88.9,90,6,26.5,1.95,0.875,0.0564102564102561,"Cognitive","C","Relative"
"365","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","J","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Long-term memory","Verbal Comprehension","NOC","Accuracy",-0.1,1.85,23.5,29.5,6.1,5.8,6,26.5,1.95,0.875,-0.252206809583859,"Cognitive","C","Absolute"
"366","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","J","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Long-term memory","Verbal Comprehension","RE","Accuracy",-0.1,1.85,23.5,29.5,93.3,92.6,6,26.5,1.95,0.875,-0.035897435897436,"Cognitive","C","Relative"
"394","13-Cui2","Cui, Cao, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",18,12,6,22.9,"Students","YES","YES",0.7,0.7,"Memory typing","Working Memory","NOC","Accuracy",0.4,0.9,26,28,1871.66666666667,1874,2,27,0.5,0.65,0.0249332146037051,"Cognitive","C","Absolute"
"395","13-Cui2","Cui, Cao, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",18,12,6,22.9,"Students","YES","YES",0.7,0.7,"Memory typing","Working Memory","NOC","Accuracy",0.4,1,28,30,1870,1859,2,29,0.6,0.7,-0.0980392156862745,"Cognitive","C","Absolute"
"396","13-Cui2","Cui, Cao, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",18,12,6,22.9,"Students","YES","YES",0.7,0.7,"Memory typing","Working Memory","NOC","Accuracy",0.25,0.8,28,30,1884,1879,2,29,0.55,0.525,-0.0482532329666088,"Cognitive","C","Absolute"
"397","13-Cui2","Cui, Cao, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",18,12,6,22.9,"Students","YES","YES",0.7,0.7,"Addition","Mathematical Reasoning","NOC","Accuracy",0.4,0.9,26,28,788,796,2,27,0.5,0.65,0.203045685279188,"Cognitive","C","Absolute"
"398","13-Cui2","Cui, Cao, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",18,12,6,22.9,"Students","YES","YES",0.7,0.7,"Addition","Mathematical Reasoning","NOC","Accuracy",0.4,1,28,30,781,810,2,29,0.6,0.7,0.618864703371746,"Cognitive","C","Absolute"
"399","13-Cui2","Cui, Cao, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",18,12,6,22.9,"Students","YES","YES",0.7,0.7,"Addition","Mathematical Reasoning","NOC","Accuracy",0.25,0.8,28,30,815,805,2,29,0.55,0.525,-0.223089793641941,"Cognitive","C","Absolute"
"400","13-Cui2","Cui, Cao, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",18,12,6,22.9,"Students","YES","YES",0.7,0.7,"Pattern matching","Visual Searching","NOC","Accuracy",0.4,0.9,26,28,127,123,2,27,0.5,0.65,-0.62992125984252,"Perceptual","S","Absolute"
"401","13-Cui2","Cui, Cao, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",18,12,6,22.9,"Students","YES","YES",0.7,0.7,"Pattern matching","Visual Searching","NOC","Accuracy",0.4,1,28,30,125,126,2,29,0.6,0.7,0.133333333333333,"Perceptual","S","Absolute"
"402","13-Cui2","Cui, Cao, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",18,12,6,22.9,"Students","YES","YES",0.7,0.7,"Pattern matching","Visual Searching","NOC","Accuracy",0.25,0.8,28,30,125,124,2,29,0.55,0.525,-0.145454545454545,"Perceptual","S","Absolute"
"403","13-Cui1","Cui, Cao, Park, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",36,18,18,22.3,"Students","NO","YES",0.7,0.7,"Memory typing","Working Memory","NOC","Accuracy",-0.8,-0.3,22.2,24,3366,3413,1.8,23.1,0.5,-0.55,0.279263220439691,"Cognitive","C","Absolute"
"404","13-Cui1","Cui, Cao, Park, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",36,18,18,22.3,"Students","NO","YES",0.7,0.7,"Memory typing","Working Memory","NOC","Accuracy",-0.3,0.3,24,26.3,3413,3549,2.3,25.15,0.6,0,0.664127356187128,"Cognitive","C","Absolute"
"405","13-Cui1","Cui, Cao, Park, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",36,18,18,22.3,"Students","NO","YES",0.7,0.7,"Memory typing","Working Memory","NOC","Accuracy",0.3,1.1,26.3,29.3,3549,3352,3,27.8,0.8,0.7,-0.693857424626655,"Cognitive","C","Absolute"
"406","13-Cui1","Cui, Cao, Park, Ouyang, Zhu",2013,"Building and Environment","J","Beijing","China","Continental",36,18,18,22.3,"Students","NO","YES",0.7,0.7,"Memory typing","Working Memory","NOC","Accuracy",1.1,2.3,29.3,32.1,3352,3269,2.8,30.7,1.2,1.7,-0.206344470962609,"Cognitive","C","Absolute"
"412","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",12,6,6,23,NA,"NO","YES",0.9,0.9,"Text typing","Simulated Work","RE","Accuracy",0.01,2.14,23.3,31.1,98.1,97.4,7.8,27.2,2.13,1.075,-0.0328638497652577,"Cognitive","C","Relative"
"413","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",12,6,6,23,NA,"NO","YES",0.9,0.9,"Addition","Mathematical Reasoning","RE","Accuracy",0.01,2.14,23.3,31.1,94.1,93.8,7.8,27.2,2.13,1.075,-0.0140845070422534,"Cognitive","C","Relative"
"414","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",12,6,6,23,NA,"NO","YES",0.9,0.9,"Redirection","Spatial Memory","RE","Accuracy",0.01,2.14,23.3,31.1,97.4,97.2,7.8,27.2,2.13,1.075,-0.00938967136150248,"Cognitive","C","Relative"
"415","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",12,6,6,23,NA,"NO","YES",0.9,0.9,"Grammatical reasoning","Grammatical Reasoning","RE","Accuracy",0.01,2.14,23.3,31.1,87.8,85.5,7.8,27.2,2.13,1.075,-0.107981220657277,"Cognitive","C","Relative"
"416","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",12,6,6,23,NA,"NO","YES",0.9,0.9,"Stroop","Inhibition","RE","Accuracy",0.01,2.14,23.3,31.1,98.5,97.7,7.8,27.2,2.13,1.075,-0.0375586854460093,"Perceptual","S","Relative"
"417","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",12,6,6,23,NA,"NO","YES",0.9,0.9,"Number calculation","Mathematical Reasoning","RE","Accuracy",0.01,2.14,23.3,31.1,0.97,0.96,7.8,27.2,2.13,1.075,-0.000469483568075118,"Cognitive","C","Relative"
"418","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",12,6,6,23,NA,"NO","YES",0.9,0.9,"Visual reaction time","Sustained Attention","RE","Accuracy",0.01,2.14,23.3,31.1,97.6,97.1,7.8,27.2,2.13,1.075,-0.0234741784037559,"Psychomotor","S","Relative"
"519","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Code substitution","Visual Searching","RE","Accuracy",-2.33333333333333,0.5,10,25,96.4333333333333,97.2333333333333,15,17.5,2.83333333333333,-0.916666666666667,0.0282352941176475,"Perceptual","S","Relative"
"520","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Code sub delayed","Short-Term Memory","RE","Accuracy",-2.33333333333333,0.5,10,25,86.4666666666667,91.4333333333333,15,17.5,2.83333333333333,-0.916666666666667,0.175294117647056,"Cognitive","C","Relative"
"521","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Logical reasoning","Grammatical Reasoning","RE","Accuracy",-2.33333333333333,0.5,10,25,50.3,50.0333333333333,15,17.5,2.83333333333333,-0.916666666666667,-0.00941176470588332,"Cognitive","C","Relative"
"522","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Match-to-sample","Visual Searching","RE","Accuracy",-2.33333333333333,0.5,10,25,97.5333333333333,96.6666666666667,15,17.5,2.83333333333333,-0.916666666666667,-0.0305882352941154,"Perceptual","S","Relative"
"523","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Continuous performance","Sustained Attention","RE","Accuracy",-2.33333333333333,0.5,10,25,95.5666666666667,96.8666666666667,15,17.5,2.83333333333333,-0.916666666666667,0.0458823529411764,"Psychomotor","S","Relative"
"524","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Sternberg 6","Recognition Memory","RE","Accuracy",-2.33333333333333,0.5,10,25,97.1333333333333,98.5333333333333,15,17.5,2.83333333333333,-0.916666666666667,0.0494117647058826,"Perceptual","S","Relative"
"532","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Creative thinking","Creative Thinking","SC","Accuracy",-0.13,1.13,22.2,25.9,0.94,1.14,3.7,24.05,1.26,0.5,1.68861870989531,"Cognitive","C","Absolute"
"534","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Addition","Mathematical Reasoning","REER","Accuracy",-0.13,1.13,22.2,25.9,96.6,94.4,3.7,24.05,1.26,0.5,0.174603174603174,"Cognitive","C","Relative"
"535","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Addition","Mathematical Reasoning","REER","Accuracy",1.13,1.99,25.9,29.9,94.4,95.1,4,27.9,0.86,1.56,-0.081395348837208,"Cognitive","C","Relative"
"536","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","REER","Accuracy",-0.13,1.13,22.2,25.9,96.8,96.9,3.7,24.05,1.26,0.5,-0.00793650793650862,"Cognitive","C","Relative"
"537","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","REER","Accuracy",1.13,1.99,25.9,29.9,96.9,97.2,4,27.9,0.86,1.56,-0.0348837209302322,"Cognitive","C","Relative"
"538","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","REER","Accuracy",-0.13,1.13,22.2,25.9,3.1,3.4,3.7,24.05,1.26,0.5,-0.0238095238095238,"Cognitive","C","Relative"
"539","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","REER","Accuracy",1.13,1.99,25.9,29.9,3.4,2.7,4,27.9,0.86,1.56,0.0813953488372093,"Cognitive","C","Relative"
"540","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Addition","Mathematical Reasoning","REER","Accuracy",-0.03,1.14,22.3,25.8,95.4,96.6,3.5,24.05,1.17,0.555,-0.102564102564102,"Cognitive","C","Relative"
"541","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Addition","Mathematical Reasoning","REER","Accuracy",1.14,2.19,25.8,29.7,96.6,96.5,3.9,27.75,1.05,1.665,0.00952380952380898,"Cognitive","C","Relative"
"542","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","REER","Accuracy",-0.03,1.14,22.3,25.8,97.4,97.1,3.5,24.05,1.17,0.555,0.0256410256410266,"Cognitive","C","Relative"
"543","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","REER","Accuracy",1.14,2.19,25.8,29.7,97.1,97,3.9,27.75,1.05,1.665,0.00952380952380898,"Cognitive","C","Relative"
"544","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","REER","Accuracy",-0.03,1.14,22.3,25.8,3.3,3,3.5,24.05,1.17,0.555,0.0256410256410256,"Cognitive","C","Relative"
"545","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","REER","Accuracy",1.14,2.19,25.8,29.7,3,3,3.9,27.75,1.05,1.665,0,"Cognitive","C","Relative"
