"","Study","Authors","Year","Source","Source_Type","City_Region","Country","Climate","Number_Participants","Male","Female","Age","Occupation","Anthropometric_Data","Health_Status","Clothing_Insulation","Clothing_Insulation2","Measure","Measure_Type","Metric","SA","TSLow","TSHigh","TLow","THigh","PLow","PHigh","DifT","AvgT","DifTS","AvgTS","Lamb","Hancock","Complexity","Equation"
"77","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Visual learning memory","Recognition Memory","RT","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,90.5,90.2,8.4,31.3,2.2,1.16666666666667,0.0150678051230536,"Perceptual","S","Absolute"
"78","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Stroop","Inhibition","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,27.6,27.9,8.4,31.3,2.2,1.16666666666667,0.0494071146245055,"Perceptual","S","Absolute"
"79","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Calculation","Mathematical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,15.3,14.8,8.4,31.3,2.2,1.16666666666667,-0.148544266191325,"Cognitive","C","Absolute"
"80","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"d2 test","Visual Searching","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,644,634,8.4,31.3,2.2,1.16666666666667,-0.0705815923207228,"Perceptual","S","Absolute"
"81","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,13.6,13.8,8.4,31.3,2.2,1.16666666666667,0.0668449197860966,"Perceptual","S","Absolute"
"82","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,1.7,1.3,8.4,31.3,2.2,1.16666666666667,-1.06951871657754,"Perceptual","S","Absolute"
"83","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-2.63,-1.485,16.2,17.9,12.79,11.72,1.7,17.05,1.145,-2.0575,0.730647237368167,"Perceptual","S","Absolute"
"84","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-1.485,-1.21,17.9,20,11.72,11.45,2.1,18.95,0.275,-1.3475,0.837728824076952,"Perceptual","S","Absolute"
"85","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-1.21,-0.27,20,22.3,11.45,12.23,2.3,21.15,0.94,-0.74,-0.724705007897427,"Perceptual","S","Absolute"
"86","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-0.27,0.075,22.3,24.1,12.23,12.35,1.8,23.2,0.345,-0.0975,-0.28440399587614,"Perceptual","S","Absolute"
"88","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",0.6,1.445,26.2,27.7,14.23,12.99,1.5,26.95,0.845,1.0225,1.03124077392957,"Perceptual","S","Absolute"
"89","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",-2.63,-1.485,16.2,17.9,2.09,2,1.7,17.05,1.145,-2.0575,0.376089091326967,"Cognitive","C","Absolute"
"91","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",-1.21,-0.27,20,22.3,2.07,1.95,2.3,21.15,0.94,-0.74,0.616712920135676,"Cognitive","C","Absolute"
"93","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",0.075,0.6,24.1,26.2,2.13,2.07,2.1,25.15,0.525,0.3375,0.536552649228706,"Cognitive","C","Absolute"
