"","Study","Authors","Year","Source","City_Region","Country","Climate","Number_Participants","Male","Female","Age","Occupation","Anthropometric_Data","Health_Status","Clothing_Insulation","Clothing_Insulation2","Measure","Measure_Type","Metric","SA","TSLow","TSHigh","TLow","THigh","PLow","PHigh","DifT","AvgT","DifTS","AvgTS","Lamb","Hancock","Complexity","Equation"
"46","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",-0.27,0.075,22.3,24.1,1.97,1.92,1.8,23.2,0.345,-0.0975,1.41003948110547,"Cognitive","C","Absolute"
"47","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",0.075,0.6,24.1,26.2,1.92,2.01,2.1,25.15,0.525,0.3375,-2.23214285714286,"Cognitive","C","Absolute"
"48","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",0.6,1.445,26.2,27.7,2.01,2.16,1.5,26.95,0.845,1.0225,-4.97512437810946,"Cognitive","C","Absolute"
"49","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Text typing","Simulated Work","NOE","Speed",-0.1,1.85,23.5,29.5,2640,2690,6,26.5,1.95,0.875,0.315656565656566,"Cognitive","C","Absolute"
"50","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Star counting","M. Reasoning + Inhibition","T","Speed",-0.1,1.85,23.5,29.5,56.1,54.6,6,26.5,1.95,0.875,0.445632798573975,"Cognitive","C","Absolute"
"51","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Vigilance","Sustained Attention","RT","Speed",-0.1,1.85,23.5,29.5,461,449,6,26.5,1.95,0.875,0.433839479392625,"Psychomotor","S","Absolute"
"52","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Operation span N-back","Working Memory","RT","Speed",-0.1,1.85,23.5,29.5,482,515,6,26.5,1.95,0.875,-1.14107883817427,"Cognitive","C","Absolute"
"53","15-Tr","Trezza, Apolinario, de Oliveira, Busse, Gonçalves, Saldiva, Jacob-Filho",2015,"AGE","Sao Paulo","Brazil","Temperate",68,21,47,73.3,"NA","YES","YES",NA,NA,"Pattern recognition memory","Recognition Memory","RT","Speed",NA,NA,23.8,32.1,3035.22,3137.67,8.3,27.95,NA,NA,-0.406671460189902,"Perceptual","S","Absolute"
"54","15-Tr","Trezza, Apolinario, de Oliveira, Busse, Gonçalves, Saldiva, Jacob-Filho",2015,"AGE","Sao Paulo","Brazil","Temperate",68,21,47,73.3,"NA","YES","YES",NA,NA,"Choice reaction time","Sustained Attention","RT","Speed",NA,NA,23.8,32.1,395.01,397.85,8.3,27.95,NA,NA,-0.0866227879544313,"Psychomotor","S","Absolute"
"55","15-Tr","Trezza, Apolinario, de Oliveira, Busse, Gonçalves, Saldiva, Jacob-Filho",2015,"AGE","Sao Paulo","Brazil","Temperate",68,21,47,73.3,"NA","YES","YES",NA,NA,"Spatial span","Spatial Reasoning","T","Speed",NA,NA,23.8,32.1,4487.29,4383.59,8.3,27.95,NA,NA,0.278430319939528,"Cognitive","C","Absolute"
